Metric,Random Forest Factor Portfolio,SPY Benchmark
Average Daily Turnover,0.048250711016824356,
CAGR,0.09731318847014547,0.1290059625631519
Calmar Ratio,0.26062256260790706,0.38261087016127954
Max Drawdown,-0.3733874285341444,-0.33717275860137697
Positive Day Ratio,0.48807495741056217,0.5502555366269165
Sharpe Ratio,0.6052327073346371,0.7877550178414028
Total Return,2.6636220221930595,4.4551853846382805
Volatility,0.18058969695803892,0.17325551905548153
