date,feature,importance
2011-05-31,volatility_63,0.30382480432648523
2011-05-31,volatility_21,0.18543367557639823
2011-05-31,momentum_63,0.17298543357071372
2011-05-31,drawdown_63,0.14658264380928393
2011-05-31,ma_spread_50_200,0.0996984415822701
2011-05-31,momentum_126,0.03536904678907063
2011-05-31,momentum_21,0.020654481233228505
2011-05-31,momentum_252,0.02058917814071823
2011-05-31,rsi_14,0.014862294971831442
2011-06-30,volatility_63,0.26518340964159604
2011-06-30,volatility_21,0.20929644457418672
2011-06-30,momentum_63,0.17070226963838891
2011-06-30,momentum_252,0.13825011578856167
2011-06-30,ma_spread_50_200,0.11954723305080565
2011-06-30,drawdown_63,0.044863966381463956
2011-06-30,momentum_21,0.020733981093682803
2011-06-30,momentum_126,0.017363834180808117
2011-06-30,rsi_14,0.014058745650506138
2011-07-29,volatility_63,0.22910901629320776
2011-07-29,drawdown_63,0.22012510667522728
2011-07-29,momentum_63,0.16027404023868635
2011-07-29,volatility_21,0.14366539731861538
2011-07-29,ma_spread_50_200,0.10142578762188328
2011-07-29,momentum_252,0.08133996030885453
2011-07-29,momentum_21,0.030361923857764688
2011-07-29,momentum_126,0.019365063582857108
2011-07-29,rsi_14,0.014333704102903634
2011-08-31,momentum_21,0.22785436229617712
2011-08-31,volatility_63,0.21272415531836525
2011-08-31,momentum_63,0.18128557666596057
2011-08-31,ma_spread_50_200,0.1299845229262625
2011-08-31,volatility_21,0.10179196940287427
2011-08-31,momentum_252,0.07903023016045152
2011-08-31,drawdown_63,0.04204668364997368
2011-08-31,momentum_126,0.01734870431595981
2011-08-31,rsi_14,0.00793379526397535
2011-09-30,momentum_21,0.2022410183133497
2011-09-30,momentum_63,0.18073432302370612
2011-09-30,volatility_63,0.1774011795220516
2011-09-30,momentum_252,0.13614394006987066
2011-09-30,ma_spread_50_200,0.10533224442643717
2011-09-30,volatility_21,0.09775639503499427
2011-09-30,drawdown_63,0.03524692852515555
2011-09-30,momentum_126,0.034653012512379185
2011-09-30,rsi_14,0.030490958572055894
2011-10-31,momentum_252,0.18029695785469696
2011-10-31,volatility_21,0.1607344179614355
2011-10-31,ma_spread_50_200,0.158494515220317
2011-10-31,momentum_21,0.13310455187553125
2011-10-31,volatility_63,0.11920291786710244
2011-10-31,momentum_63,0.08629589110697043
2011-10-31,drawdown_63,0.07860935769774126
2011-10-31,momentum_126,0.060106873405493186
2011-10-31,rsi_14,0.023154517010712125
2011-11-30,momentum_63,0.24020763912370183
2011-11-30,volatility_21,0.1728842931867263
2011-11-30,momentum_252,0.16820412774973054
2011-11-30,momentum_21,0.1301706706902939
2011-11-30,drawdown_63,0.11339520192849518
2011-11-30,volatility_63,0.07087058658646124
2011-11-30,ma_spread_50_200,0.05472847629633173
2011-11-30,momentum_126,0.029755470591464203
2011-11-30,rsi_14,0.019783533846795227
2011-12-30,momentum_63,0.22965394912913523
2011-12-30,volatility_21,0.18013749869047513
2011-12-30,momentum_252,0.17076368344196713
2011-12-30,momentum_21,0.14810928861785658
2011-12-30,drawdown_63,0.08807888531884513
2011-12-30,volatility_63,0.08211860710035314
2011-12-30,ma_spread_50_200,0.050303038596756625
2011-12-30,momentum_126,0.02987358863769867
2011-12-30,rsi_14,0.02096146046691248
2012-01-31,momentum_252,0.2149351326921846
2012-01-31,volatility_21,0.1496639577652926
2012-01-31,ma_spread_50_200,0.13836685815075314
2012-01-31,momentum_21,0.13190092134018166
2012-01-31,momentum_63,0.1317036978674424
2012-01-31,drawdown_63,0.11842479297362589
2012-01-31,volatility_63,0.06722742890077738
2012-01-31,momentum_126,0.030173030583824496
2012-01-31,rsi_14,0.017604179725917813
2012-02-29,momentum_252,0.30949819443808846
2012-02-29,ma_spread_50_200,0.16341641369744586
2012-02-29,volatility_21,0.14025478747691467
2012-02-29,drawdown_63,0.12763729108931438
2012-02-29,momentum_21,0.07834139700864354
2012-02-29,momentum_63,0.07665792871927243
2012-02-29,volatility_63,0.06727871838556497
2012-02-29,momentum_126,0.02408271892122863
2012-02-29,rsi_14,0.012832550263527072
2012-03-30,momentum_252,0.287671126419726
2012-03-30,ma_spread_50_200,0.16883080495470623
2012-03-30,drawdown_63,0.13672836311513106
2012-03-30,volatility_21,0.13189260103090025
2012-03-30,momentum_21,0.08397290628051589
2012-03-30,volatility_63,0.08364708984470855
2012-03-30,momentum_63,0.06266344970818669
2012-03-30,momentum_126,0.034168726996497416
2012-03-30,rsi_14,0.010424931649628053
2012-04-30,momentum_252,0.2546109828548359
2012-04-30,ma_spread_50_200,0.17288923864336364
2012-04-30,drawdown_63,0.14358736275415102
2012-04-30,volatility_21,0.12767059771233794
2012-04-30,momentum_21,0.0922964828155987
2012-04-30,volatility_63,0.08882230768300091
2012-04-30,momentum_63,0.05552673462651018
2012-04-30,momentum_126,0.053982178147487285
2012-04-30,rsi_14,0.010614114762714622
2012-05-31,momentum_252,0.23616575191413602
2012-05-31,ma_spread_50_200,0.1445208742312448
2012-05-31,volatility_21,0.12972455831541707
2012-05-31,drawdown_63,0.1119495609912264
2012-05-31,momentum_63,0.1028534419730089
2012-05-31,momentum_21,0.09683274527764388
2012-05-31,volatility_63,0.09460661993238326
2012-05-31,momentum_126,0.07257647119359883
2012-05-31,rsi_14,0.010769976171341001
2012-06-29,momentum_252,0.18205109581800072
2012-06-29,volatility_21,0.16456787929005265
2012-06-29,volatility_63,0.12323245122536405
2012-06-29,momentum_63,0.12004869986937841
2012-06-29,ma_spread_50_200,0.10912405441541244
2012-06-29,drawdown_63,0.10606287431037982
2012-06-29,momentum_126,0.09395639498844076
2012-06-29,momentum_21,0.087608384724266
2012-06-29,rsi_14,0.013348165358705033
2012-07-31,momentum_252,0.18026582225976337
2012-07-31,volatility_21,0.15679698960907978
2012-07-31,momentum_63,0.14835344309161982
2012-07-31,volatility_63,0.12216815815621739
2012-07-31,drawdown_63,0.11427907391344898
2012-07-31,momentum_21,0.10537304078734168
2012-07-31,ma_spread_50_200,0.08304039667709553
2012-07-31,momentum_126,0.07958083579200664
2012-07-31,rsi_14,0.010142239713426848
2012-08-31,momentum_252,0.2262457447189837
2012-08-31,volatility_21,0.15118929303113096
2012-08-31,momentum_63,0.14028394156836207
2012-08-31,volatility_63,0.11420732333117453
2012-08-31,drawdown_63,0.1062548052457632
2012-08-31,momentum_21,0.09658171043231548
