Date,gross_return,transaction_cost,portfolio_return,turnover,equity_curve,benchmark_return,benchmark_equity
2010-01-04,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2010-01-05,0.0,0.0,0.0,0.0,1.0,0.0026473339485308944,1.002647333948531
2010-01-06,0.0,0.0,0.0,0.0,1.0,0.0007040797580397662,1.0033532776408165
2010-01-07,0.0,0.0,0.0,0.0,1.0,0.004220966850441377,1.00758839856502
2010-01-08,0.0,0.0,0.0,0.0,1.0,0.0033276651715301586,1.0109413153861626
2010-01-11,0.0,0.0,0.0,0.0,1.0,0.0013967851277985055,1.012353383180571
2010-01-12,0.0,0.0,0.0,0.0,1.0,-0.00932626725301966,1.0029119049745305
2010-01-13,0.0,0.0,0.0,0.0,1.0,0.008446548351429994,1.0113830488721227
2010-01-14,0.0,0.0,0.0,0.0,1.0,0.002704319928334309,1.0141181522063671
2010-01-15,0.0,0.0,0.0,0.0,1.0,-0.011224222767025727,1.0027354641539183
2010-01-19,0.0,0.0,0.0,0.0,1.0,0.012495372742201916,1.0152650175403464
2010-01-20,0.0,0.0,0.0,0.0,1.0,-0.010168371731347325,1.0049414254361633
2010-01-21,0.0,0.0,0.0,0.0,1.0,-0.01922903959822808,0.9856173669725515
2010-01-22,0.0,0.0,0.0,0.0,1.0,-0.022291827172032264,0.9636461549702459
2010-01-25,0.0,0.0,0.0,0.0,1.0,0.005127374177841482,0.9685871293818166
2010-01-26,0.0,0.0,0.0,0.0,1.0,-0.00419030976199497,0.9645284492782252
2010-01-27,0.0,0.0,0.0,0.0,1.0,0.004757292331162066,0.9691169930731641
2010-01-28,0.0,0.0,0.0,0.0,1.0,-0.011472326768591778,0.9579989662516337
2010-01-29,0.0,0.0,0.0,0.0,1.0,-0.010868668653060243,0.9475867929174705
2010-02-01,0.0,0.0,0.0,0.0,1.0,0.015550950687036824,0.9623226684058175
2010-02-02,0.0,0.0,0.0,0.0,1.0,0.012103090835328567,0.9739697470744288
2010-02-03,0.0,0.0,0.0,0.0,1.0,-0.0049824483931263375,0.9691169930731642
2010-02-04,0.0,0.0,0.0,0.0,1.0,-0.0308661838012827,0.9392040498400215
2010-02-05,0.0,0.0,0.0,0.0,1.0,0.002067155120864639,0.9411455303011851
2010-02-08,0.0,0.0,0.0,0.0,1.0,-0.0072195906671802534,0.9343508448141642
2010-02-09,0.0,0.0,0.0,0.0,1.0,0.012560614445208618,0.9460868655324298
2010-02-10,0.0,0.0,0.0,0.0,1.0,-0.001958964153606635,0.9442335152766538
2010-02-11,0.0,0.0,0.0,0.0,1.0,0.010466246005550461,0.9541160955342249
2010-02-12,0.0,0.0,0.0,0.0,1.0,-0.0008321667525273968,0.9533221118414701
2010-02-16,0.0,0.0,0.0,0.0,1.0,0.015735297805108628,0.9683229191754907
2010-02-17,0.0,0.0,0.0,0.0,1.0,0.0047381846277614326,0.9729110119458372
2010-02-18,0.0,0.0,0.0,0.0,1.0,0.005895286895030605,0.9786466014845925
2010-02-19,0.0,0.0,0.0,0.0,1.0,0.0020736188617189732,0.9806759415363882
2010-02-22,0.0,0.0,0.0,0.0,1.0,0.00017973359323875115,0.9808522019471633
2010-02-23,0.0,0.0,0.0,0.0,1.0,-0.012144459976456745,0.9689402816377964
2010-02-24,0.0,0.0,0.0,0.0,1.0,0.009197651809152996,0.9778522569721635
2010-02-25,0.0,0.0,0.0,0.0,1.0,-0.0013538317007127931,0.976528409588061
2010-02-26,0.0,0.0,0.0,0.0,1.0,0.0006326630959552215,0.9771462230749592
2010-03-01,0.0,0.0,0.0,0.0,1.0,0.010384845035077639,0.9872937351782041
2010-03-02,0.0,0.0,0.0,0.0,1.0,0.0027707603739055564,0.9900292895370411
2010-03-03,0.0,0.0,0.0,0.0,1.0,0.0008914533459385421,0.990911854459776
