Date,SPY,QQQ,IWM,TLT,GLD,EFA,EEM,VNQ,XLE,XLK
2010-01-04,84.57847595214844,40.24655532836914,51.24470520019531,55.504520416259766,109.80000305175781,34.58121109008789,30.194555282592773,23.3463191986084,17.14463233947754,9.367613792419434
2010-01-05,84.80238342285156,40.24655532836914,51.068485260009766,55.862998962402344,109.69999694824219,34.6116943359375,30.41372299194336,23.320125579833984,17.284555435180664,9.355534553527832
2010-01-06,84.86209106445312,40.003807067871094,51.02043151855469,55.115142822265625,111.51000213623047,34.75798034667969,30.47735595703125,23.27819061279297,17.49154281616211,9.250865936279297
2010-01-07,85.22029113769531,40.029808044433594,51.396873474121094,55.20786666870117,110.81999969482422,34.62387466430664,30.300613403320312,23.529747009277344,17.465303421020508,9.214641571044922
2010-01-08,85.50387573242188,40.35927200317383,51.677207946777344,55.183162689208984,111.37000274658203,34.898189544677734,30.540979385375977,23.35679817199707,17.578996658325195,9.275020599365234
2010-01-11,85.62330627441406,40.194541931152344,51.468971252441406,54.88037109375,112.8499984741211,35.1846923828125,30.47735595703125,23.493057250976562,17.55567741394043,9.23879337310791
2010-01-12,84.82476043701172,39.69167709350586,50.90829849243164,55.819725036621094,110.48999786376953,34.770179748535156,29.989538192749023,23.100019454956055,17.302045822143555,9.138154983520508
2010-01-13,85.5412368774414,40.18586349487305,51.56508255004883,55.1707878112793,111.54000091552734,35.062767028808594,30.081451416015625,23.56641387939453,17.36618423461914,9.226713180541992
2010-01-14,85.77256774902344,40.22054672241211,51.75731658935547,55.943294525146484,112.02999877929688,35.33098602294922,30.003684997558594,23.545459747314453,17.41575050354004,9.250865936279297
2010-01-15,84.8098373413086,39.75236129760742,51.004417419433594,56.28940200805664,110.86000061035156,34.77627182006836,29.657264709472656,23.367279052734375,17.275815963745117,9.122047424316406
2010-01-19,85.86956787109375,40.393951416015625,51.94152069091797,56.128726959228516,111.5199966430664,35.11763381958008,30.258195877075195,23.84416389465332,17.433242797851562,9.27904987335205
2010-01-20,84.99641418457031,39.81306076049805,51.18863296508789,56.697296142578125,108.94000244140625,34.221561431884766,29.530014038085938,23.576902389526367,17.1621150970459,9.130099296569824
2010-01-21,83.36201477050781,39.44025421142578,50.34762954711914,56.95689010620117,107.37000274658203,33.49006271362305,28.639232635498047,22.90087890625,16.812286376953125,9.033487319946289
2010-01-22,81.50372314453125,38.28711700439453,49.44256591796875,56.85798263549805,107.16999816894531,32.837825775146484,28.00296401977539,22.324430465698242,16.41289710998535,8.719484329223633
2010-01-25,81.92162322998047,38.41717529296875,49.4986457824707,56.598453521728516,107.4800033569336,33.24014663696289,28.207992553710938,22.481637954711914,16.520755767822266,8.791951179504395
2010-01-26,81.5783462524414,38.45185470581055,49.010040283203125,56.616939544677734,107.55999755859375,33.051170349121094,27.62120246887207,22.272029876708984,16.415807723999023,8.76779842376709
2010-01-27,81.96643829345703,38.75531005859375,49.53067398071289,56.586097717285156,106.52999877929688,33.01460647583008,27.550508499145508,22.471162796020508,16.351675033569336,8.84025764465332
2010-01-28,81.02609252929688,37.75825119018555,48.68167495727539,56.55519104003906,106.4800033569336,32.45988845825195,27.3596248626709,22.27726173400879,16.17967414855957,8.586640357971191
2010-01-29,80.14544677734375,37.09931182861328,48.14501953125,57.049583435058594,105.95999908447266,31.990510940551758,27.062692642211914,22.151485443115234,15.888145446777344,8.437698364257812
2010-02-01,81.39178466796875,37.50680923461914,48.71370315551758,56.53172302246094,108.3499984741211,32.57571029663086,27.790878295898438,22.55500602722168,16.41289710998535,8.534308433532715
2010-02-02,82.37687683105469,37.84496307373047,49.250328063964844,56.692928314208984,109.12999725341797,33.11822509765625,28.017105102539062,22.864206314086914,16.628625869750977,8.618847846984863
2010-02-03,81.96643829345703,38.05303192138672,48.92195510864258,56.03557205200195,108.69999694824219,32.77077102661133,27.854515075683594,22.492124557495117,16.485776901245117,8.63897705078125
2010-02-04,79.43644714355469,36.951934814453125,47.288021087646484,56.92245864868164,104.37000274658203,31.435800552368164,26.596101760864258,21.658889770507812,15.809438705444336,8.397441864013672
2010-02-05,79.60065460205078,37.2640380859375,47.47222900390625,57.046512603759766,104.68000030517578,31.380939483642578,26.29918098449707,22.057170867919922,15.812355995178223,8.481977462768555
2010-02-08,79.02597045898438,36.995277404785156,46.99966049194336,57.12092208862305,104.04000091552734,30.75916290283203,26.037601470947266,21.575040817260742,15.666592597961426,8.445744514465332
2010-02-09,80.01858520507812,37.37675476074219,47.64841842651367,56.55031967163086,105.41000366210938,31.728389739990234,26.88595962524414,21.506919860839844,15.996015548706055,8.518206596374512
2010-02-10,79.86183166503906,37.298728942871094,47.76056671142578,56.01070785522461,105.12000274658203,31.527238845825195,26.815256118774414,21.548839569091797,15.928967475891113,8.494053840637207
2010-02-11,80.69768524169922,37.86227798461914,48.521488189697266,55.706825256347656,107.12999725341797,31.819833755493164,27.522232055664062,21.753217697143555,16.200082778930664,8.58261489868164
2010-02-12,80.63053131103516,37.9403076171875,48.87388229370117,55.936302185058594,107.04000091552734,31.545522689819336,27.175811767578125,22.01000213623047,16.205909729003906,8.598719596862793
2010-02-16,81.89927673339844,38.42583465576172,49.69884490966797,56.04176712036133,109.62000274658203,32.24653625488281,27.87570571899414,22.63361930847168,16.587814331054688,8.72754192352295
2010-02-17,82.2873306274414,38.64259719848633,50.035274505615234,55.40290451049805,109.25,32.28921127319336,27.97467613220215,22.838001251220703,16.564485549926758,8.751694679260254
2010-02-18,82.7724380493164,38.885353088378906,50.443748474121094,55.17966079711914,109.9800033569336,32.47208023071289,28.080732345581055,23.178619384765625,16.65777587890625,8.808051109313965
2010-02-19,82.94407653808594,38.86801528930664,50.50783920288086,55.47736358642578,109.47000122070312,32.27091598510742,27.840362548828125,23.19434356689453,16.721914291381836,8.78390121459961
2010-02-22,82.958984375,38.78999328613281,50.65999984741211,55.2479133605957,109.06999969482422,32.33188247680664,27.87570571899414,23.251998901367188,16.491605758666992,8.76779842376709
2010-02-23,81.95149230957031,38.28711700439453,50.06731414794922,56.10995864868164,107.88999938964844,31.87470245361328,27.23236656188965,23.07380485534668,16.217571258544922,8.659104347229004
2010-02-24,82.70525360107422,38.67726516723633,50.491798400878906,56.246437072753906,107.36000061035156,32.07584762573242,27.493947982788086,23.30963897705078,16.31960678100586,8.74364185333252
2010-02-25,82.5932846069336,38.6685905456543,50.50783920288086,56.56271743774414,108.30999755859375,31.88079071044922,27.267723083496094,23.39872932434082,16.328353881835938,8.719484329223633
2010-02-26,82.64553833007812,38.807308197021484,50.29957580566406,56.85424041748047,109.43000030517578,32.07584762573242,27.54343605041504,23.388242721557617,16.366247177124023,8.731569290161133
2010-03-01,83.50379943847656,39.37088394165039,51.468971252441406,56.82932662963867,109.43000030517578,32.325782775878906,28.010026931762695,23.587383270263672,16.517841339111328,8.844285011291504
2010-03-02,83.73516845703125,39.49225616455078,51.861427307128906,56.754676818847656,111.0199966430664,32.569610595703125,28.328174591064453,23.597867965698242,16.654861450195312,8.832208633422852
2010-03-03,83.809814453125,39.53562545776367,52.157772064208984,56.61159896850586,111.62999725341797,32.95973587036133,28.363513946533203,23.534984588623047,16.727745056152344,8.83622932434082
2010-03-04,84.06354522705078,39.66565704345703,52.293941497802734,56.91020965576172,110.83000183105469,32.8743896484375,28.215059280395508,23.681718826293945,16.64028549194336,8.872458457946777
2010-03-05,85.26507568359375,40.263912200927734,53.35921859741211,56.16362380981445,110.80999755859375,33.51445388793945,28.950300216674805,24.326290130615234,16.952213287353516,8.98115348815918
2010-03-08,85.27999877929688,40.34193420410156,53.45531463623047,55.87115478515625,109.87999725341797,33.51445388793945,28.971511840820312,24.572595596313477,16.92597770690918,9.029457092285156
2010-03-09,85.42176818847656,40.56734085083008,53.64756393432617,55.88364791870117,109.72000122070312,33.43519973754883,29.134117126464844,24.630233764648438,16.92597770690918,9.069710731506348
2010-03-10,85.80239868164062,40.896820068359375,54.104103088378906,55.74053192138672,108.47000122070312,33.57540512084961,29.33913803100586,24.8503360748291,17.074655532836914,9.130099296569824
2010-03-11,86.1606674194336,41.05288314819336,54.2642936706543,55.94582748413086,108.5999984741211,33.70341110229492,29.346208572387695,24.9970760345459,17.045503616333008,9.166332244873047
2010-03-12,86.1681137084961,41.06155776977539,54.24024963378906,56.29427719116211,107.94999694824219,33.9289665222168,29.24723243713379,25.196210861206055,17.054248809814453,9.158278465270996
2010-03-15,86.19049072265625,40.95751190185547,54.056034088134766,56.21959686279297,108.36000061035156,33.69123458862305,29.035137176513672,25.138566970825195,16.87933349609375,9.150232315063477
2010-03-16,86.87711334228516,41.21760177612305,54.52058792114258,56.667564392089844,110.4000015258789,34.11792755126953,29.40983009338379,25.7464599609375,17.030929565429688,9.21866512298584
2010-03-17,87.39205932617188,41.3303108215332,54.8409538269043,56.91020965576172,109.58999633789062,34.30080795288086,29.72796630859375,26.129005432128906,17.217500686645508,9.246845245361328
2010-03-18,87.34725189208984,41.469051361083984,54.67277908325195,56.72355651855469,110.33999633789062,34.099639892578125,29.501739501953125,25.987524032592773,16.96095848083496,9.25892162322998
2010-03-19,86.90513610839844,41.21820831298828,53.9919548034668,56.7795524597168,108.27999877929688,33.75218200683594,29.11998748779297,25.70453453063965,16.757064819335938,9.203598022460938
2010-03-22,87.36973571777344,41.59142303466797,54.75285720825195,56.84178161621094,107.75,33.84972381591797,29.22601318359375,26.029441833496094,16.713176727294922,9.272245407104492
2010-03-23,87.98423767089844,41.877830505371094,55.4496955871582,56.57423782348633,108.31999969482422,34.08745193481445,29.431041717529297,25.95606803894043,16.77753448486328,9.361090660095215
2010-03-24,87.55709075927734,41.678226470947266,54.81695556640625,55.54142761230469,106.30000305175781,33.52664566040039,28.99271583557129,26.09756851196289,16.680997848510742,9.316673278808594
2010-03-25,87.41470336914062,41.617454528808594,54.47168731689453,55.186805725097656,106.77999877929688,33.50835418701172,28.914962768554688,26.16145896911621,16.400150299072266,9.3328275680542
2010-03-26,87.36223602294922,41.660858154296875,54.44759750366211,55.34234619140625,108.58999633789062,33.8375244140625,29.05634880065918,26.024181365966797,16.406005859375,9.28840160369873
2010-03-29,87.91681671142578,41.86045837402344,54.74470138549805,55.130767822265625,108.75,34.124019622802734,29.579504013061523,26.103376388549805,16.724878311157227,9.316673278808594
2010-03-30,87.97674560546875,41.99934387207031,54.9133186340332,55.304996490478516,107.97000122070312,34.124019622802734,29.692615509033203,26.06641960144043,16.751205444335938,9.357054710388184
2010-03-31,87.6769790649414,41.799720764160156,54.43958282470703,55.68454360961914,108.94999694824219,34.124019622802734,29.777462005615234,25.770755767822266,16.827268600463867,9.328786849975586
2010-04-01,88.27648162841797,41.799720764160156,54.94542694091797,55.54839324951172,110.26000213623047,34.727508544921875,30.555124282836914,25.902755737304688,17.125675201416016,9.312631607055664
2010-04-05,88.99588775634766,42.19029235839844,55.973201751708984,54.62420654296875,110.88999938964844,34.76408767700195,30.830835342407227,26.472976684570312,17.42991828918457,9.421669006347656
2010-04-06,89.2057113647461,42.31179428100586,56.30238342285156,54.71158981323242,111.02999877929688,34.66654968261719,30.922739028930664,27.08014678955078,17.42991828918457,9.429747581481934
2010-04-07,88.69613647460938,42.207672119140625,56.12576675415039,55.4110107421875,112.48999786376953,34.42272186279297,30.654088973999023,26.4835262298584,17.25731658935547,9.393399238586426
2010-04-08,89.00337982177734,42.30311965942383,56.069557189941406,55.435970306396484,112.6500015258789,34.386146545410156,30.760128021240234,26.515201568603516,17.318748474121094,9.409553527832031
2010-04-09,89.5879135131836,42.55482864379883,56.40679168701172,55.5671501159668,113.63999938964844,34.83723449707031,30.95101547241211,26.890071868896484,17.5030517578125,9.482248306274414
2010-04-12,89.73027038574219,42.58955383300781,56.63963317871094,55.86057662963867,113.01000213623047,34.94695281982422,30.703575134277344,26.721118927001953,17.544010162353516,9.502443313598633
2010-04-13,89.79772186279297,42.8065299987793,56.768123626708984,56.04177474975586,112.69000244140625,34.91647720336914,30.63995361328125,27.37582015991211,17.482572555541992,9.530707359313965
2010-04-14,90.81686401367188,43.31861114501953,57.980567932128906,55.648292541503906,113.02999877929688,35.379756927490234,31.092409133911133,27.418054580688477,17.649328231811523,9.668015480041504
2010-04-15,90.89179992675781,43.50955581665039,58.1572151184082,55.71076202392578,113.6500015258789,35.35536575317383,30.922739028930664,26.668315887451172,17.646398544311523,9.71243667602539
2010-04-16,89.44549560546875,42.98880386352539,57.37834167480469,56.11671829223633,111.23999786376953,34.57511520385742,30.017824172973633,26.05584716796875,17.347999572753906,9.583205223083496
